path	description
baseline/mymodel_CGA009_publishable_v1.13_lps_acp_acyltransferase_20260508.xlsx	Frozen trusted Excel workbook for v1.13
baseline/mymodel_CGA009_publishable_v1.13_lps_acp_acyltransferase_for_memote.xml	SBML export for MEMOTE/COBRA validation
baseline/CLAUDE_HANDOFF_V1.13_20260509.md	Local handoff note identifying v1.13 as current recommended workbook
baseline/README_publishable_v1.13.md	Original v1.13 summary
baseline/v1.13_publication_summary_metrics.tsv	Current summary metrics
baseline/cobra_matlab_qc_summary.tsv	MATLAB/COBRA QC summary
baseline/internal_imbalanced_reactions.tsv	Remaining imbalanced internal reaction list
baseline/cga009_phenotype_profile_results.tsv	Phenotype profile results
baseline/cga009_phenotype_mfa_phb_validation_report.xlsx	Validation workbook
evidence/literature_evidence.tsv	Prioritized external evidence and databases
evidence/LITERATURE_READING_PROTOCOL.md	Mandatory reading and extraction protocol before model edits
evidence/phenotype_data_requirements.tsv	Required phenotype/omics/flux data for next phase
next_agent/NEXT_AGENT_PROMPT.md	Prompt to hand directly to the next agent
skills/cga009-top-journal-modeling/SKILL.md	Codex skill for rigorous CGA009 model improvement
skills/cga009-top-journal-modeling/references/top_journal_strategy.md	Strategy reference loaded by the skill
skills/cga009-top-journal-modeling/scripts/check_release_files.py	Package integrity checker
skills/cga009-top-journal-modeling/scripts/python_cobrapy_baseline_template.py	Python/COBRApy baseline validation starter for agents without MATLAB
requirements.txt	Python-first dependency list for COBRApy/memote validation
