substrate	fd_cap_fraction	status	max_growth	h2_flux	h2_yield_per_100C	nitrogenase_flux	fd_nadp_flux	por_flux
acetate	0.5	optimal	10.551123458063552	64.65075748197727	323.25378740988634	0.0	-15.786422011181074	25.539759967549564
acetate	0.75	optimal	10.635493534333634	65.8451694724745	329.22584736237246	0.0	-23.679633016689685	28.509311685971298
acetate	1.0	optimal	10.702006077109315	67.22418339804655	336.12091699023273	0.0	-31.572844022249416	31.248256041608357
acetate	1.25	optimal	10.702006077109315	69.29076955220772	346.4538477610386	0.0	-39.46605502772634	33.12827539018555
acetate	1.5	optimal	10.702006077109315	71.35735570638693	356.7867785319346	0.0	-47.35926603327161	36.12581795758741
acetate	2.0	optimal	10.702006077109315	75.49052801480892	377.4526400740446	0.0	-63.14568804460586	42.26817124927023
acetate	5.0	optimal	10.702006077109315	94.66622619474865	473.33113097374326	0.0	-136.3862019263223	70.76538937779299
succinate	0.5	optimal	10.402059526383301	63.66172450044096	318.3086225022048	0.0	-18.949717303580513	37.24885347354216
succinate	0.75	optimal	10.48151925887825	65.31604284870367	326.58021424351836	0.0	-28.42457595549004	42.017384579442854
succinate	1.0	optimal	10.560581178183808	66.97449840754474	334.87249203772376	0.0	-37.89943460730248	46.783690055908686
succinate	1.25	optimal	10.56058117818297	69.45518867270346	347.2759433635173	0.0	-47.374293258916225	51.10767100418596
succinate	1.5	optimal	10.56058117818297	71.9358789378974	359.679394689487	0.0	-56.849151910699476	55.43165195254514
succinate	2.0	optimal	10.56058117818297	76.8972594682897	384.4862973414485	0.0	-75.79886921428059	64.07961384927037
succinate	5.0	optimal	10.56058117818297	93.8524512041494	469.262256020747	0.0	-140.8893842635387	93.79900608458954
butyrate	0.5	optimal	10.611538112384782	65.88124907497667	329.4062453748833	0.0	-16.760483500483012	24.951942227160664
butyrate	0.75	optimal	10.712460634969878	67.03206395000448	335.1603197500224	0.0	-25.140725250723897	28.251249633443017
butyrate	1.0	optimal	10.812601130342415	68.19096301744469	340.95481508722344	0.0	-33.52096700096711	31.54045815159359
butyrate	1.25	optimal	10.812601130342415	70.38506267563689	351.9253133781844	0.0	-41.901208751006855	33.53647936842136
butyrate	1.5	optimal	10.812601130342415	72.579162333871	362.895811669355	0.0	-50.28145050120823	35.532500585287
butyrate	2.0	optimal	10.812601130342415	76.96736165033926	384.8368082516963	0.0	-67.04193400161097	40.967259593943865
butyrate	5.0	optimal	10.812601130342415	95.9503605572015	479.75180278600754	0.0	-139.5464437153174	69.17810519164142
