shortcut	why_rejected	evidence_or_rule	status
Add exchange reactions to force growth	This would improve phenotype output while damaging biological credibility.	NEXT_AGENT_PROMPT rule 5; top_journal_strategy stop conditions	rejected
Use ME-model reactions wholesale to replace v1.13	The ME paper is CGA009-specific but has different scope and assumptions; direct replacement could erase curated v1.13 stoichiometry.	Evidence extraction rows ME_CGA009_Chowdhury_2022	rejected
Hard-code LFQ proteomics as absolute enzyme bounds	LFQ intensities are relative proxy abundances and not absolute molecules/cell or fmol/ug.	CGA009 proteomics preprint methods; phenotype_data_requirements.tsv	rejected
Optimize H2 or PHB alone and call the result experimental truth	FBA objective choice can create unrealistic flux distributions without measured exchange and 13C validation.	McKinlay/Harwood evidence; top_journal_strategy stop conditions	rejected
Apply TFA with generic metabolite concentration ranges as final proof	Broad generic concentration ranges can be useful for sensitivity but cannot support strong strain-specific claims.	Henry TFA and pyTFA rows; phenotype_data_requirements.tsv	rejected
Patch porphyrin/chlorophyll/cobalamin reactions one at a time	Baseline handoff identifies this as pathway-wide convention problem where single H+ edits can break neighbors.	baseline/CLAUDE_HANDOFF_V1.13_20260509.md	rejected

Cap nitrogenase flux directly to match experimental H2 yield	Circular reasoning: fitting the output without understanding the mechanism; would not generalize to other conditions.	McKinlay/Harwood 2011; Chowdhury 2022 ETFD analysis	rejected
Apply ATP cap alone to fix H2 over-prediction	ATP cap reduces growth by 15% but barely affects H2 yield (<4% change); the bottleneck is electron transport, not ATP.	Cycle 4 ATP cap sensitivity scan results	rejected
Use generic metabolite concentrations for hard TFA constraints	Without CGA009-specific metabolomics, concentration ranges are too broad to meaningfully constrain flux directions.	Henry TFA 2007; phenotype_data_requirements.tsv	rejected

Add N2 exchange without verifying nitrogenase stoichiometry and ATP/electron requirements	Adding N2 exchange alone would enable nitrogenase but the H2:N2 stoichiometry and ATP cost must match literature (16 ATP + 8 Fd_red per N2 + H2).	Nitrogenase biochemistry; McKinlay/Harwood experimental design (argon headspace, no N2)	rejected_pending_evidence
